product_id|battery_power|has_bluetooth|clock_speed|supports_dual_sim|front_camera_mp|supports_4G|storage_GB|depth_cm|weight|num_cores|primary_camera_mp|pixel_res_height|pixel_res_width|RAM|screen_height_cm|screen_width_cm|battery_talk_time|supports_3G|has_touch_screen|has_wifi|price_range
71549|909.0|Yes|1.4|NO|0|No|53|0.3|82.0|8|0|635|973|3187.0|12|9|4|Yes|NO|NO|high_cost
70936|1084.0|Yes|2.6|NO|3|Yes|40|0.9|107.0|3|11|322|771|1945.0|15|4|10|Yes|YES|NO|medium_cost
72555|1308.0|No|1.3|YES|8|No|46|0.9|199.0|1|12|275|989|488.0|5|3|9|No|YES|NO|low_cost
68216|1778.0|No|0.5|NO|0|No|15|0.5|102.0|3|0|1445|1954|1214.0|5|0|14|Yes|NO|NO|medium_cost
75100|1701.0|Yes||YES|3|No|10|0.3|194.0|8|7|550|1338|2598.0|12|9|6|No|YES|NO|high_cost
50440|772.0|Yes|2.4|YES|1|Yes|10|0.5|80.0|4|2|1242|1712|3242.0|18|11|4|Yes|YES|NO|very_high_cost
61499|825.0|Yes|0.5|YES|7|No|52|0.9|130.0|3|10|597|863|3534.0|10|4|6|No|YES|NO|very_high_cost
69638|1379.0|No|1.1|NO|5|Yes|36|0.8|200.0|2|7|538|1376|3426.0|5|4|17|Yes|YES|YES|very_high_cost
66586||No|||3|Yes|25|0.8||5|4|59|1203||13|5|15|Yes|||high_cost
74104|1659.0|No|2.8|NO|5|No|16|0.6|89.0|1|20|819|902|3255.0|19|14|9|No|NO|YES|very_high_cost
72313|826.0|Yes|2.4|YES|0|Yes|58|0.3|88.0|4|1|179|786|2863.0|9|3|18|Yes|NO|YES|high_cost
59510|1564.0|No|2.3|NO|4|Yes|25|0.5|189.0|6|17|1259|1965|1496.0|6|4|7|Yes|YES|YES|medium_cost
55144|||||11|No|31|0.6||3|16|396|1732||12|0|7|Yes|||very_high_cost
61196|1571.0|No|1.4|NO|0|Yes|19|0.1|100.0|6|1|713|1398|666.0|12|10|13|Yes|YES|NO|low_cost
54125|1414.0|No|2.0|YES|2|No|54|0.8|99.0|7|3|262|829|3799.0|17|7|7|Yes|NO|YES|very_high_cost
76852|1790.0|No|2.5|YES|9|No|2|0.1|184.0|1|14|622|792|1366.0|7|0|20|Yes|YES|YES|medium_cost
76977|645.0|No|0.5|NO|1|No|41|1.0|197.0|7|10|327|580|2962.0|12|9|4|Yes|YES|YES|high_cost
76286|668.0|No|2.9|YES|7|No|30|0.2|195.0|8|12|522|1056|2399.0|10|5|7|Yes|YES|YES|medium_cost
61852|1652.0|Yes|1.1|YES|1|No|36|0.7|89.0|4|5|313|1264|2338.0|12|8|20|No|NO|NO|high_cost
66381|1213.0|Yes||NO|0|No|16|0.5|108.0|5|0|226|1248|2700.0|12|3|9|No|NO|YES|high_cost
55125|1272.0|Yes|2.5|YES|0|No|22|0.9|133.0|6|8|605|669|2235.0|19|4|4|Yes|NO|NO|medium_cost
74258|866.0|No|0.5|YES|5|Yes|46|0.5|179.0|8|7|692|1686|3825.0|12|11|2|Yes|YES|YES|very_high_cost
76950|536.0|No|2.4|YES|12|Yes|3|0.3|182.0|7|14|1386|1539|284.0|12|9|4|Yes|YES|NO|low_cost
68029|523.0|No|2.6|YES|1|No|14|0.1|155.0|8|2|304|1042|1427.0|9|1|9|No|YES|NO|low_cost
63328|1753.0|No|0.5|YES|0|Yes|31|0.1|134.0|1|18|1590|1926|1324.0|17|0|17|Yes|NO|YES|high_cost
62205|1218.0|No|1.8|YES|1|Yes|14|0.5|147.0|3|4|229|616|398.0|17|0|5|Yes|NO|NO|low_cost
55641|1537.0|Yes|2.5|NO|4|Yes|43|0.3|137.0|1|5|839|1131|3685.0|18|17|17|Yes|YES|YES|very_high_cost
65024|786.0|No|2.2|YES|0|No|33|0.5|141.0|7|6|507|1697|2390.0|12|11|5|Yes|NO|YES|high_cost
75295|1678.0|No|2.1|NO|3|Yes|64|0.9|134.0|3|11|436|536|278.0|19|0|10|Yes|YES|NO|low_cost
54143|1814.0|No|1.4|YES|1|Yes|9|0.4|141.0|2|2|756|786|3556.0|18|12|16|Yes|NO|NO|very_high_cost
78153|1101.0|No|1.8|NO|0|No|31|0.2|148.0|2|7|387|1269|2196.0|12|6|19|No|YES|YES|medium_cost
67185|1461.0|No|2.4|YES|3|Yes|40|0.5|141.0|7|4|1265|1298|3799.0|16|1|4|Yes|NO|NO|very_high_cost
65166|1216.0|No|3.0|NO|4|No|47|0.4|199.0|3|7|1852|1967|2268.0|13|5|4|No|YES|YES|high_cost
79218|506.0|No|1.6|NO|6|Yes|41|0.8|159.0|1|7|875|1025|2965.0|13|10|15|Yes|NO|NO|high_cost
70711|843.0|Yes|0.5|NO|1|Yes|56|0.1|147.0|5|17|140|800|2341.0|10|1|20|Yes|YES|YES|medium_cost
61389|742.0|No|2.2|YES|4|No|56|0.2|190.0|7|14|577|1359|3557.0|16|11|12|No|YES|YES|very_high_cost
74494|1692.0|Yes|2.1|NO|3|Yes|61|0.9|176.0|6|12|975|1996|1354.0|16|7|19|Yes|NO|NO|medium_cost
52190|1485.0|No|1.0|NO|2|Yes|32|0.7|84.0|2|9|510|1013|2147.0|19|1|11|Yes|YES|NO|high_cost
51641|1547.0|No|2.9|YES|6|No|45|0.7|166.0|2|8|583|590|505.0|12|2|3|No|YES|YES|low_cost
76155|1692.0|No|2.3|YES|4|Yes|46|0.9|139.0|1|6|674|1925|1394.0|16|10|6|Yes|YES|NO|medium_cost
56953|637.0|No|2.3|NO|3|Yes|60|0.8|97.0|4|4|1125|1989|374.0|18|4|8|Yes|NO|YES|low_cost
52896|1224.0|No|0.5|NO|16|Yes|6|0.4|109.0|6|18|747|826|506.0|10|0|11|Yes|YES|YES|low_cost
58564|1356.0|No|2.8|NO|0|No|29|0.5|198.0|6|0|1612|1983|3702.0|17|0|19|No|NO|NO|very_high_cost
74666|1840.0|No|0.5|YES|12|No|34|0.7|142.0|1|16|311|1545|1078.0|8|0|10|No|NO|NO|medium_cost
72464|1481.0|Yes|0.7|YES|4|Yes|37|0.6|96.0|5|13|116|1533|2945.0|10|5|16|Yes|YES|YES|high_cost
69857|961.0|Yes|1.5|YES|10|No|51|0.3|152.0|6|16|554|621|2981.0|15|6|7|Yes|YES|YES|high_cost
50917|1296.0|No|0.9|YES|0|Yes|14|0.5|124.0|5|3|811|1272|490.0|7|1|4|Yes|YES|YES|low_cost
63460|1193.0|No|0.9|NO|11|No|26|0.5|166.0|1|20|730|1729|536.0|17|14|4|Yes|NO|YES|low_cost
53746|1441.0|No|2.1|YES|11|Yes|3|0.1|118.0|8|17|577|1071|2317.0|16|4|7|Yes|NO|YES|high_cost
62507|517.0|No|1.4|YES|3|Yes|33|0.8|183.0|4|8|660|974|3704.0|17|16|11|Yes|NO|YES|very_high_cost
72973|748.0|Yes|1.7|NO|0|Yes|27|0.9|150.0|8|4|450|1554|2126.0|18|9|7|Yes|NO|NO|medium_cost
66997|1126.0|Yes|2.4|NO|2|Yes|10|0.4|160.0|6|3|1223|1611|2050.0|7|6|12|Yes|YES|YES|high_cost
69594|1572.0|No|0.6|NO|0|Yes|58|0.2|157.0|7|8|1109|1937|2462.0|12|8|10|Yes|NO|NO|very_high_cost
50705|1569.0|No|2.8|YES|17|No|44|0.3|110.0|4|20|45|1942|1260.0|9|2|17|Yes|NO|NO|medium_cost
78335|1270.0|Yes|0.6|YES|2|Yes|32|0.5|101.0|7|6|299|845|3770.0|5|3|13|Yes|YES|NO|very_high_cost
52279|1854.0|No|3.0|NO|2|Yes|8|0.1|101.0|5|5|506|627|1886.0|17|4|20|Yes|YES|NO|medium_cost
67626|625.0|Yes|1.2|YES|5|Yes|10|0.2|183.0|4|8|635|842|3323.0|9|1|7|Yes|YES|YES|high_cost
75328|1577.0|No|0.5|YES|0|Yes|42|0.3|197.0|5|4|1045|1737|2060.0|19|6|12|Yes|NO|NO|high_cost
69536|534.0|No|0.5|YES|0|Yes|16|1.0|189.0|5|1|393|1199|3926.0|16|12|20|Yes|NO|NO|very_high_cost
74219|946.0|No|1.7|YES|8|Yes|25|0.8|143.0|6|15|650|1740|2177.0|7|5|13|Yes|YES|YES|high_cost
51554|685.0|No|0.5|NO|2|No|29|0.8|93.0|7|10|433|648|728.0|14|8|4|No|NO|YES|low_cost
56276|1949.0|No|1.3|YES|0|No|23|0.1|101.0|5|1|839|1136|2478.0|14|8|20|Yes|NO|NO|very_high_cost
50849|947.0|No|0.8|YES|0|Yes|22|0.1|197.0|2|13|1176|1220|2842.0|16|12|2|Yes|NO|NO|high_cost
56826|801.0|Yes|2.2|YES|2|No|63|0.4|165.0|7|4|650|879|1617.0|17|4|19|No|NO|YES|medium_cost
57944|703.0|Yes|2.7|NO|12|Yes|30|0.3|113.0|1|20|218|1065|1472.0|14|7|7|Yes|NO|NO|low_cost
65437|1165.0|Yes|2.4|NO|11|No|41|0.2|178.0|6|12|564|831|764.0|19|12|15|Yes|NO|NO|low_cost
68660|1082.0|No|0.8|NO|0|No|38|0.1|198.0|8|5|986|1191|2337.0|6|1|17|No|YES|YES|high_cost
78164|959.0|Yes|2.6|YES|15|No|20|1.0|84.0|4|19|561|1631|3965.0|16|1|6|Yes|NO|NO|very_high_cost
54371|1502.0|Yes|1.2|NO|0|No|54|0.2|138.0|5|12|65|588|3693.0|17|14|16|Yes|YES|NO|very_high_cost
73213|1380.0|Yes|2.1|YES|1|Yes|4|0.8|92.0|3|13|420|500|797.0|13|2|15|Yes|YES|NO|low_cost
67773|1266.0|No|0.5|NO|0|Yes|5|0.1|95.0|6|9|1365|1698|1687.0|11|0|18|Yes|NO|NO|high_cost
73759|1934.0|Yes|2.6|YES|0|Yes|46|0.1|103.0|1|17|619|1299|2940.0|13|9|2|Yes|YES|YES|very_high_cost
59320|1905.0|Yes|0.5|NO|3|Yes|6|0.5|151.0|1|5|849|898|1545.0|9|5|10|Yes|YES|NO|medium_cost
73156|1831.0|No|1.4|YES|2|No|43|0.9|150.0|5|5|611|1381|3834.0|17|7|13|Yes|YES|YES|very_high_cost
67689|596.0|No|1.4|NO|8|No|46|0.6|165.0|1|18|953|984|2505.0|15|4|15|Yes|YES|NO|medium_cost
78432|1562.0|Yes|1.3|YES|1|Yes|7|0.2|190.0|5|15|642|1533|2243.0|12|10|6|Yes|NO|NO|high_cost
63737|1490.0|Yes|0.5|YES|4|Yes|64|0.3|150.0|8|8|1417|1464|3600.0|17|9|7|Yes|YES|YES|very_high_cost
77065|1523.0|Yes|2.4|NO|5|Yes|57|0.2|117.0|2|6|247|539|3971.0|18|12|10|Yes|YES|YES|very_high_cost
76619|640.0|No|0.6|NO|0|No|20|0.1|163.0|4|15|710|1179|2844.0|7|5|18|Yes|YES|NO|high_cost
77685|1526.0|No|2.1|NO|1|Yes|23|0.2|117.0|7|8|718|751|2227.0|18|10|3|Yes|YES|NO|high_cost
76731|1989.0|No|2.5|YES|0|Yes|41|0.8|94.0|3|13|1100|1497|1665.0|17|9|12|Yes|YES|YES|high_cost
78657|1308.0|No|1.9|NO|0|Yes|61|0.7|106.0|3|7|59|1215|3355.0|15|2|4|Yes|NO|YES|very_high_cost
76769|609.0|No|0.5|NO|3|No|26|0.3|93.0|4|4|938|1948|1866.0|11|10|14|Yes|YES|YES|medium_cost
76797|1905.0|No|0.6|YES|9|Yes|36|0.4|119.0|3|20|825|1542|1287.0|13|4|16|Yes|NO|NO|medium_cost
78766|1703.0|Yes|0.5|NO|0|Yes|22|0.6|192.0|1|0|286|1235|1046.0|5|4|13|Yes|NO|YES|low_cost
58601|1445.0|Yes|2.4|YES|7|Yes|20|0.4|173.0|7|15|1273|1345|1441.0|7|4|13|Yes|YES|YES|medium_cost
64077|1087.0|No|1.3|NO|0|Yes|16|0.3|166.0|3|9|295|589|690.0|14|6|6|Yes|NO|YES|low_cost
76042|671.0|No|0.9|YES|10|No|30|0.7|105.0|7|17|852|1182|2504.0|6|4|15|Yes|NO|NO|high_cost
59073|1472.0|Yes|2.3|NO|6|No|61|0.1|168.0|6|19|710|1052|2677.0|19|15|8|Yes|NO|NO|high_cost
