CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
773146383,Existing Customer,50,F,1,1.0,Single,1.0,1.0,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145
708153558,Existing Customer,46,M,5,2.0,Divorced,3.0,0.0,31,1,2,2,34516.0,1802,32714.0,0.871,7936,101,0.485,0.052
714789033,Attrited Customer,54,F,1,1.0,Married,0.0,0.0,50,3,3,3,3173.0,2517,656.0,0.619,2763,51,0.821,0.793
713557533,Existing Customer,34,M,3,0.0,Single,1.0,0.0,21,4,1,3,4353.0,1655,2698.0,0.806,2664,81,0.884,0.38
716269308,Existing Customer,56,F,3,1.0,Single,0.0,0.0,36,4,2,2,2836.0,1362,1474.0,0.661,4192,90,0.731,0.48
780384483,Attrited Customer,49,M,4,0.0,Single,2.0,0.0,39,2,2,2,2886.0,925,1961.0,0.946,5481,58,0.758,0.321
718773333,Existing Customer,51,F,4,0.0,Single,0.0,0.0,40,3,2,2,5139.0,1799,3340.0,0.94,7548,89,0.618,0.35
714412308,Attrited Customer,33,M,3,1.0,Married,2.0,0.0,36,6,3,5,7140.0,0,7140.0,0.401,916,18,0.2,0.0
720092283,Existing Customer,40,F,3,1.0,Single,0.0,0.0,31,4,2,3,2016.0,978,1038.0,0.736,4379,78,0.95,0.485
710872233,Existing Customer,27,M,0,0.0,Single,1.0,0.0,17,5,1,2,4610.0,0,4610.0,0.794,2280,49,0.4,0.0
778847808,Existing Customer,42,F,4,1.0,Married,1.0,0.0,23,1,2,3,2647.0,1245,1402.0,0.712,4911,82,0.864,0.47
719231583,Existing Customer,61,M,1,1.0,Divorced,1.0,0.0,49,6,2,2,16929.0,1838,15091.0,0.551,4799,79,0.519,0.109
711119358,Existing Customer,38,M,3,0.0,Married,1.0,0.0,31,6,1,2,2014.0,896,1118.0,1.055,2460,52,0.857,0.445
711093408,Existing Customer,46,F,2,2.0,Married,0.0,0.0,33,2,3,1,2644.0,1517,1127.0,0.721,4815,83,0.804,0.574
719595708,Existing Customer,53,F,2,0.0,Married,0.0,0.0,47,3,1,1,7469.0,1294,6175.0,0.869,15212,124,0.746,0.173
789059958,Existing Customer,42,M,4,0.0,Married,3.0,2.0,30,6,2,4,34516.0,1045,33471.0,0.848,3574,75,0.923,0.03
708908883,Existing Customer,37,F,2,1.0,Divorced,0.0,1.0,32,1,3,2,12033.0,1025,11008.0,0.684,12603,106,0.893,0.085
758765808,Existing Customer,36,F,2,0.0,Married,0.0,0.0,29,6,3,4,2029.0,1190,839.0,0.628,1802,40,0.481,0.586
716354883,Attrited Customer,59,F,0,1.0,Single,0.0,0.0,49,2,3,2,9076.0,0,9076.0,0.899,3048,53,0.656,0.0
711004533,Existing Customer,44,F,2,1.0,Single,0.0,0.0,26,6,3,1,2240.0,1664,576.0,0.691,4399,80,0.6,0.743
721107258,Existing Customer,45,F,5,0.0,Single,0.0,0.0,37,2,2,2,5465.0,1967,3498.0,0.644,14192,115,0.667,0.36
820639908,Existing Customer,48,F,4,0.0,Married,0.0,0.0,44,1,2,1,2625.0,2517,108.0,0.702,4378,81,0.884,0.959
780769308,Existing Customer,49,F,4,0.0,Single,0.0,0.0,29,1,3,2,3919.0,2278,1641.0,0.672,7685,85,0.518,0.581
778686408,Existing Customer,48,M,1,1.0,Married,1.0,0.0,29,4,3,2,19324.0,1040,18284.0,0.904,1744,50,0.852,0.054
806995683,Existing Customer,61,M,0,2.0,Single,1.0,0.0,56,4,1,3,4783.0,2517,2266.0,1.024,2870,50,1.174,0.526
719628033,Existing Customer,33,F,1,2.0,Married,0.0,0.0,36,5,3,3,4134.0,1130,3004.0,1.222,2475,52,0.926,0.273
827100333,Existing Customer,49,F,3,0.0,Married,0.0,0.0,45,3,3,2,1438.3,726,712.3,0.657,5208,93,0.755,0.505
710280558,Existing Customer,51,M,1,1.0,Single,1.0,0.0,39,3,3,2,8796.0,2517,6279.0,0.492,1195,18,0.8,0.286
718629858,Existing Customer,42,F,2,0.0,Married,0.0,0.0,32,5,5,3,4708.0,0,4708.0,0.718,4597,89,0.679,0.0
709173108,Attrited Customer,54,F,4,1.0,Married,0.0,0.0,40,6,2,2,2532.0,2221,311.0,0.491,799,21,0.235,0.877
719105433,Existing Customer,48,F,3,1.0,Single,0.0,0.0,38,3,3,3,6448.0,1087,5361.0,0.868,4990,85,0.667,0.169
712966458,Existing Customer,51,M,0,0.0,Married,2.0,0.0,36,3,2,3,8065.0,0,8065.0,0.729,14807,115,0.769,0.0
712663533,Existing Customer,40,M,4,0.0,Single,1.0,0.0,32,6,4,2,2441.0,1656,785.0,0.762,3903,62,0.824,0.678
779118708,Existing Customer,50,F,2,0.0,Single,0.0,0.0,32,4,3,1,1438.3,0,1438.3,0.815,4598,78,0.902,0.0
779174133,Existing Customer,56,M,3,0.0,Married,3.0,0.0,43,5,1,5,5188.0,753,4435.0,0.591,1540,30,0.429,0.145
716481408,Existing Customer,38,F,2,1.0,Single,0.0,0.0,36,3,1,1,1461.0,0,1461.0,0.681,4769,76,0.949,0.0
718619883,Existing Customer,54,F,0,0.0,Married,0.0,0.0,36,2,2,2,1494.0,706,788.0,1.674,1305,24,3.0,0.473
708190158,Attrited Customer,38,F,3,0.0,Single,0.0,0.0,26,2,3,0,2920.0,2426,494.0,0.983,2750,41,0.367,0.831
768728508,Existing Customer,45,F,5,2.0,Married,0.0,2.0,39,6,3,2,15987.0,1096,14891.0,0.625,14209,103,0.776,0.069
793456983,Existing Customer,43,M,0,2.0,Single,1.0,0.0,37,1,2,3,7872.0,989,6883.0,0.809,13746,104,0.733,0.126
714732183,Existing Customer,47,M,4,0.0,Divorced,1.0,0.0,36,6,3,2,3402.0,1607,1795.0,0.432,3188,65,0.667,0.472
713786508,Existing Customer,42,F,5,0.0,Married,1.0,0.0,36,3,3,3,2038.0,0,2038.0,0.786,1238,28,0.75,0.0
712700358,Existing Customer,36,F,4,0.0,Single,0.0,0.0,26,4,3,2,2002.0,1377,625.0,0.671,2411,60,0.714,0.688
712265508,Attrited Customer,32,M,0,2.0,Single,1.0,0.0,14,1,1,3,4015.0,0,4015.0,1.045,8363,65,0.806,0.0
716530533,Existing Customer,43,F,2,0.0,Single,0.0,0.0,36,3,1,4,2573.0,1640,933.0,0.873,4094,77,0.638,0.637
708665133,Existing Customer,40,M,2,1.0,Married,2.0,0.0,28,6,2,3,3654.0,1172,2482.0,0.938,4003,67,0.595,0.321
713516433,Existing Customer,36,F,3,1.0,Single,0.0,0.0,36,6,1,0,5383.0,737,4646.0,0.956,2934,80,0.633,0.137
719772258,Existing Customer,38,M,3,0.0,Single,2.0,0.0,30,5,1,3,3642.0,724,2918.0,0.68,4517,79,0.837,0.199
721063533,Existing Customer,51,M,2,1.0,Single,1.0,0.0,41,1,3,3,3062.0,2058,1004.0,0.622,7289,75,0.705,0.672
807173358,Existing Customer,56,F,0,2.0,Married,0.0,0.0,51,4,2,3,3617.0,878,2739.0,0.777,5416,76,0.9,0.243
816829608,Existing Customer,44,M,2,0.0,Married,2.0,0.0,39,6,2,2,1438.3,0,1438.3,0.871,1495,39,0.393,0.0
719961183,Existing Customer,63,F,0,0.0,Married,0.0,0.0,53,5,3,2,2271.0,1278,993.0,0.375,1550,33,0.65,0.563
714983283,Attrited Customer,39,F,3,0.0,Single,0.0,0.0,36,6,1,3,3651.0,0,3651.0,0.977,862,19,1.111,0.0
771086208,Existing Customer,57,F,2,1.0,Married,0.0,0.0,44,3,4,4,6256.0,1530,4726.0,0.647,1629,43,0.344,0.245
817663908,Existing Customer,60,F,1,1.0,Married,1.0,0.0,42,5,3,3,5903.0,1335,4568.0,0.914,1137,27,0.929,0.226
716580933,Existing Customer,63,M,0,0.0,Single,1.0,0.0,36,3,3,3,1970.0,1224,746.0,0.54,4533,65,0.625,0.621
787501758,Existing Customer,51,F,3,0.0,Single,0.0,0.0,39,5,2,1,4038.0,1237,2801.0,0.61,4188,68,0.545,0.306
772655733,Existing Customer,41,M,1,0.0,Single,2.0,0.0,31,6,2,4,2404.0,1887,517.0,0.592,4489,75,0.744,0.785
719377383,Existing Customer,40,M,2,1.0,Single,1.0,0.0,28,1,2,3,10880.0,2025,8855.0,0.753,4957,90,0.765,0.186
721032633,Attrited Customer,55,F,3,0.0,Single,1.0,0.0,32,5,3,4,2496.0,1999,497.0,0.724,2590,50,0.667,0.801
715019883,Existing Customer,52,M,3,1.0,Married,1.0,0.0,42,5,3,1,4565.0,1258,3307.0,0.764,4139,67,0.914,0.276
717961458,Existing Customer,49,F,2,0.0,Single,0.0,0.0,37,5,1,4,2934.0,2381,553.0,0.762,3396,64,0.778,0.812
774588633,Existing Customer,45,F,3,1.0,Single,0.0,0.0,39,2,2,3,1438.3,0,1438.3,0.81,4928,84,0.909,0.0
783910008,Existing Customer,37,F,0,0.0,Married,0.0,0.0,31,5,2,2,2684.0,1381,1303.0,0.794,2002,60,0.429,0.515
711291558,Existing Customer,27,M,0,0.0,Single,1.0,0.0,36,4,3,3,2464.0,0,2464.0,0.502,2636,50,0.429,0.0
710164683,Existing Customer,33,M,1,1.0,Married,1.0,0.0,22,3,1,3,2859.0,2517,342.0,1.254,2247,36,0.636,0.88
721438233,Existing Customer,39,M,2,2.0,Single,1.0,0.0,31,6,3,3,3297.0,1761,1536.0,0.879,15580,120,0.739,0.534
713804883,Attrited Customer,46,F,4,2.0,Single,0.0,0.0,37,3,2,2,1836.0,0,1836.0,0.323,1799,28,0.167,0.0
770590758,Existing Customer,43,F,3,1.0,Single,1.0,0.0,29,5,2,0,3378.0,1069,2309.0,0.581,1285,16,0.333,0.316
719728383,Existing Customer,38,F,4,1.0,Married,0.0,0.0,28,4,1,2,6861.0,1598,5263.0,2.103,2228,39,0.95,0.233
718947558,Existing Customer,32,F,0,0.0,Single,0.0,0.0,21,2,3,1,4251.0,2295,1956.0,0.628,15574,115,0.797,0.54
713474733,Attrited Customer,51,M,2,1.0,Single,2.0,0.0,31,5,3,2,1438.3,327,1111.3,0.528,1783,40,0.481,0.227
713879283,Existing Customer,55,F,2,1.0,Married,0.0,0.0,47,3,1,2,4580.0,1300,3280.0,0.519,1694,34,0.7,0.284
713843283,Existing Customer,41,F,3,0.0,Married,0.0,1.0,34,5,3,3,34516.0,2053,32463.0,1.034,1487,26,0.733,0.059
779084208,Attrited Customer,43,F,3,0.0,Divorced,0.0,0.0,24,4,2,2,1662.0,613,1049.0,0.868,2326,31,0.55,0.369
720563958,Existing Customer,48,F,3,2.0,Married,0.0,0.0,38,6,1,3,4025.0,0,4025.0,0.887,4445,92,0.673,0.0
809990883,Existing Customer,48,F,3,1.0,Single,0.0,0.0,43,6,2,2,2423.0,1773,650.0,0.574,2038,64,0.362,0.732
716365233,Existing Customer,53,F,1,1.0,Married,0.0,0.0,36,1,3,3,1665.0,964,701.0,1.049,4881,75,0.923,0.579
713896533,Existing Customer,42,M,4,0.0,Single,1.0,0.0,33,5,1,3,9442.0,838,8604.0,0.654,3157,63,0.853,0.089
709019283,Existing Customer,47,M,1,1.0,Married,2.0,0.0,39,2,3,1,5660.0,2210,3450.0,0.583,7867,100,0.695,0.39
774012933,Existing Customer,47,F,3,1.0,Divorced,1.0,0.0,41,1,2,1,6443.0,2073,4370.0,0.8,9277,92,0.769,0.322
714842208,Existing Customer,52,F,2,1.0,Married,1.0,0.0,36,6,4,2,2804.0,1782,1022.0,0.698,4357,69,0.605,0.636
779034708,Existing Customer,60,F,0,2.0,Married,0.0,0.0,41,1,3,1,10730.0,970,9760.0,0.645,4939,71,0.972,0.09
716101308,Existing Customer,48,M,3,0.0,Married,1.0,0.0,35,6,3,4,2173.0,0,2173.0,0.857,4251,60,0.714,0.0
714940608,Existing Customer,36,M,2,0.0,Divorced,1.0,0.0,36,3,3,2,2686.0,1733,953.0,0.706,2057,53,0.71,0.645
709477233,Existing Customer,37,F,2,0.0,Single,0.0,0.0,36,3,2,1,2346.0,1621,725.0,0.613,4287,79,0.717,0.691
718528008,Existing Customer,60,F,1,0.0,Married,0.0,0.0,47,2,3,1,3845.0,1460,2385.0,0.857,14432,106,0.828,0.38
711801933,Attrited Customer,54,F,4,0.0,Single,1.0,0.0,36,3,3,4,1438.3,0,1438.3,0.641,2092,42,0.68,0.0
712604133,Existing Customer,54,M,1,0.0,Married,2.0,0.0,43,3,1,4,25882.0,1699,24183.0,0.428,1736,48,0.371,0.066
710785383,Attrited Customer,49,F,2,1.0,Married,0.0,0.0,39,3,3,1,2212.0,0,2212.0,0.942,2394,55,0.897,0.0
720575058,Existing Customer,47,M,3,0.0,Single,1.0,0.0,36,3,2,1,2589.0,1693,896.0,0.878,4259,83,0.766,0.654
779995833,Existing Customer,49,M,0,0.0,Married,1.0,0.0,39,6,2,4,10177.0,1748,8429.0,0.622,3557,64,0.939,0.172
716471508,Existing Customer,54,M,2,0.0,Single,3.0,0.0,36,5,1,2,19865.0,0,19865.0,0.59,4350,83,0.766,0.0
716748483,Existing Customer,59,F,1,0.0,Married,1.0,0.0,36,2,2,3,3720.0,1569,2151.0,0.891,16208,129,0.792,0.422
719816583,Attrited Customer,46,M,3,2.0,Married,3.0,0.0,38,3,2,2,8989.0,552,8437.0,0.699,2309,49,0.633,0.061
778357458,Existing Customer,44,F,5,0.0,Single,0.0,0.0,24,4,3,3,2003.0,1224,779.0,0.646,1756,42,0.355,0.611
709473708,Existing Customer,39,M,3,1.0,Married,2.0,0.0,31,4,2,3,30753.0,1661,29092.0,0.681,1780,33,0.941,0.054
720101658,Existing Customer,26,F,0,1.0,Single,0.0,0.0,19,2,1,2,3416.0,1109,2307.0,0.783,4614,70,1.0,0.325
752604633,Attrited Customer,57,M,2,1.0,Married,1.0,0.0,50,2,5,3,6462.0,0,6462.0,0.856,761,17,0.214,0.0
720211533,Existing Customer,41,F,4,0.0,Married,0.0,0.0,33,5,2,3,2888.0,821,2067.0,0.931,4713,77,1.026,0.284
712947333,Attrited Customer,54,F,4,0.0,Married,0.0,0.0,43,3,3,0,5139.0,0,5139.0,0.33,1653,44,0.692,0.0
719634408,Existing Customer,51,M,2,0.0,Single,3.0,1.0,31,2,2,2,34516.0,585,33931.0,0.875,13534,104,0.825,0.017
715905633,Existing Customer,45,M,1,1.0,Single,1.0,0.0,36,3,1,3,6022.0,1433,4589.0,0.955,3433,68,0.943,0.238
721210158,Existing Customer,29,M,2,1.0,Married,1.0,0.0,17,3,1,3,4626.0,1232,3394.0,0.731,14740,102,0.759,0.266
779134458,Attrited Customer,33,F,1,2.0,Single,0.0,0.0,15,1,1,3,3709.0,1180,2529.0,0.645,8130,74,0.897,0.318
717185658,Attrited Customer,51,M,1,0.0,Married,2.0,0.0,36,4,3,4,22754.0,0,22754.0,0.799,8531,77,0.791,0.0
789800358,Existing Customer,45,F,3,0.0,Married,0.0,0.0,34,6,1,3,2647.0,1288,1359.0,0.765,4730,78,0.857,0.487
708615183,Existing Customer,44,M,2,0.0,Married,1.0,0.0,34,4,4,4,3828.0,1146,2682.0,0.681,4558,90,0.636,0.299
714469008,Existing Customer,40,F,2,0.0,Single,1.0,0.0,29,1,3,3,2351.0,1337,1014.0,0.613,5115,84,0.787,0.569
756691608,Existing Customer,37,F,3,1.0,Married,0.0,0.0,30,5,3,3,4554.0,780,3774.0,0.658,4816,81,0.588,0.171
795573333,Existing Customer,41,M,3,0.0,Married,2.0,0.0,35,6,2,1,8376.0,1165,7211.0,0.888,4142,67,0.634,0.139
710508858,Existing Customer,44,F,2,0.0,Single,0.0,0.0,34,5,1,3,3226.0,2517,709.0,0.818,4317,81,0.884,0.78
717978033,Existing Customer,36,F,1,0.0,Single,0.0,0.0,36,5,3,4,5257.0,1572,3685.0,0.732,2822,73,0.659,0.299
712084383,Existing Customer,63,M,1,1.0,Single,0.0,0.0,56,4,2,2,7936.0,2081,5855.0,0.941,4247,81,0.841,0.262
715849983,Existing Customer,44,F,4,0.0,Married,0.0,0.0,36,4,1,4,2107.0,0,2107.0,0.975,4007,82,0.952,0.0
771230508,Existing Customer,46,F,4,1.0,Married,1.0,0.0,33,4,1,1,2423.0,429,1994.0,0.625,4717,80,0.739,0.177
720463833,Existing Customer,42,M,5,0.0,Single,1.0,0.0,36,1,1,2,6618.0,1738,4880.0,0.72,5022,76,0.854,0.263
719514783,Existing Customer,39,F,3,2.0,Single,0.0,0.0,26,6,1,4,3209.0,2517,692.0,0.431,1292,37,0.762,0.784
749211483,Existing Customer,52,F,0,1.0,Married,1.0,0.0,45,4,2,1,4597.0,1905,2692.0,0.906,4932,67,0.914,0.414
793059108,Existing Customer,50,F,2,1.0,Married,1.0,0.0,44,6,2,3,2339.0,1440,899.0,0.431,893,22,0.375,0.616
718364283,Existing Customer,43,M,3,1.0,Single,1.0,0.0,30,3,2,4,19711.0,0,19711.0,1.037,3602,72,1.0,0.0
719227233,Existing Customer,27,F,1,0.0,Single,0.0,0.0,36,3,3,3,1553.0,723,830.0,0.666,1954,43,0.344,0.466
711762408,Existing Customer,43,M,2,2.0,Divorced,1.0,0.0,34,4,1,2,2243.0,0,2243.0,0.697,4023,63,0.75,0.0
709918158,Existing Customer,43,M,3,0.0,Married,2.0,0.0,23,5,6,1,12315.0,0,12315.0,0.895,2028,51,0.545,0.0
719945433,Existing Customer,60,F,1,0.0,Divorced,1.0,0.0,48,3,2,2,2070.0,0,2070.0,0.708,1793,53,0.963,0.0
787770858,Existing Customer,43,M,4,1.0,Single,2.0,0.0,32,3,2,3,8333.0,774,7559.0,0.984,3889,81,0.723,0.093
718670808,Existing Customer,59,F,0,1.0,Married,0.0,0.0,51,6,1,0,1438.3,0,1438.3,0.715,4817,81,0.688,0.0
714151533,Existing Customer,55,F,1,1.0,Married,1.0,0.0,46,5,4,4,4589.0,1622,2967.0,0.425,1569,33,0.269,0.353
710027508,Existing Customer,61,M,0,1.0,Married,1.0,0.0,54,3,2,0,1616.0,1047,569.0,0.984,1389,33,1.2,0.648
720973833,Existing Customer,49,M,2,1.0,Divorced,1.0,0.0,36,5,3,2,4596.0,0,4596.0,0.93,2872,62,0.722,0.0
789684258,Attrited Customer,57,M,2,2.0,Single,2.0,1.0,43,2,3,3,34516.0,1847,32669.0,0.557,7842,61,0.794,0.054
712395408,Attrited Customer,51,F,3,1.0,Divorced,0.0,0.0,41,5,3,3,1495.0,691,804.0,0.705,2552,42,0.556,0.462
720392433,Existing Customer,55,F,1,0.0,Married,0.0,0.0,36,6,6,2,2857.0,2517,340.0,0.871,1869,47,0.567,0.881
711934308,Existing Customer,38,M,3,1.0,Single,1.0,0.0,19,5,2,3,1705.0,0,1705.0,0.604,3342,62,0.824,0.0
789373683,Existing Customer,45,F,3,1.0,Married,0.0,0.0,35,1,2,2,1438.3,834,604.3,0.635,4976,70,0.842,0.58
788853258,Existing Customer,41,M,1,0.0,Married,1.0,0.0,25,3,2,0,7984.0,1503,6481.0,0.797,1734,39,1.167,0.188
716284308,Existing Customer,65,M,2,1.0,Married,0.0,0.0,55,3,2,2,6099.0,2175,3924.0,0.582,1319,34,0.545,0.357
789298833,Existing Customer,51,M,2,0.0,Divorced,2.0,0.0,40,1,2,3,23453.0,0,23453.0,0.727,7555,96,0.574,0.0
780653208,Existing Customer,47,F,3,1.0,Married,0.0,0.0,36,5,4,2,3300.0,2517,783.0,0.94,3784,55,1.115,0.763
714252933,Existing Customer,52,F,2,1.0,Divorced,0.0,0.0,45,4,2,3,1438.3,0,1438.3,0.744,4737,80,0.818,0.0
719761458,Existing Customer,55,M,4,2.0,Single,1.0,0.0,36,3,2,1,4998.0,1626,3372.0,0.695,4329,61,0.694,0.325
778905033,Existing Customer,45,F,5,1.0,Divorced,0.0,0.0,26,3,5,2,1438.3,1226,212.3,0.638,3889,60,0.818,0.852
714969183,Existing Customer,46,F,2,0.0,Married,0.0,0.0,36,2,3,1,3123.0,1639,1484.0,0.788,4117,76,1.111,0.525
772336458,Attrited Customer,60,F,1,0.0,Married,1.0,0.0,50,4,4,3,1438.3,1025,413.3,0.838,702,12,0.714,0.713
714537258,Existing Customer,48,M,3,2.0,Married,1.0,0.0,36,3,2,1,8876.0,1132,7744.0,0.844,3779,78,0.814,0.128
812597508,Existing Customer,39,F,1,0.0,Married,1.0,0.0,34,6,5,3,4489.0,2498,1991.0,0.779,2153,58,0.568,0.556
720690933,Existing Customer,52,M,4,0.0,Married,1.0,0.0,39,5,1,3,2641.0,1584,1057.0,0.809,4279,67,0.718,0.6
715009833,Existing Customer,51,F,1,0.0,Married,0.0,0.0,36,3,4,2,1857.0,1033,824.0,0.95,5149,90,0.636,0.556
720108783,Existing Customer,60,F,1,0.0,Single,0.0,0.0,50,6,3,3,7459.0,1717,5742.0,1.001,4328,68,0.581,0.23
717940008,Existing Customer,57,F,2,0.0,Divorced,1.0,0.0,36,5,2,2,3251.0,1887,1364.0,1.007,3228,67,0.763,0.58
714948858,Attrited Customer,50,F,2,0.0,Single,0.0,0.0,36,3,2,2,3647.0,2517,1130.0,0.842,2935,58,0.933,0.69
713655108,Existing Customer,60,F,1,1.0,Single,0.0,0.0,45,2,3,1,9752.0,1423,8329.0,0.872,14220,108,0.964,0.146
708784083,Existing Customer,47,F,3,0.0,Single,0.0,0.0,36,5,2,1,2723.0,1588,1135.0,0.852,4307,83,0.844,0.583
711203658,Existing Customer,46,M,3,1.0,Single,1.0,0.0,34,3,6,1,2259.0,1346,913.0,0.813,7745,88,0.517,0.596
714871683,Attrited Customer,58,M,1,0.0,Married,1.0,0.0,36,2,4,3,1438.3,537,901.3,0.819,715,13,0.182,0.373
712390683,Existing Customer,41,M,2,0.0,Single,1.0,0.0,27,2,3,1,13409.0,1255,12154.0,0.742,15573,99,0.768,0.094
713810658,Existing Customer,44,M,3,1.0,Married,1.0,0.0,36,1,2,3,3384.0,799,2585.0,0.737,13152,100,0.754,0.236
713390433,Attrited Customer,44,M,3,1.0,Divorced,1.0,2.0,29,2,3,2,34516.0,2517,31999.0,0.579,6782,67,0.763,0.073
801064833,Existing Customer,42,M,3,1.0,Married,2.0,0.0,36,1,1,2,30117.0,2129,27988.0,0.769,7930,91,0.542,0.071
712552608,Attrited Customer,46,F,3,1.0,Married,0.0,0.0,34,3,3,1,1438.3,0,1438.3,0.714,2658,43,0.654,0.0
721498008,Existing Customer,44,F,3,0.0,Single,0.0,0.0,35,5,2,2,1438.3,0,1438.3,0.978,3966,57,0.781,0.0
712423233,Existing Customer,44,M,3,0.0,Divorced,1.0,0.0,36,4,3,1,22919.0,1368,21551.0,0.942,3752,71,0.919,0.06
712003083,Existing Customer,55,M,1,1.0,Married,2.0,0.0,36,3,2,4,34516.0,2102,32414.0,0.912,1612,33,0.737,0.061
814489683,Existing Customer,34,F,2,0.0,Single,0.0,0.0,29,3,1,0,5387.0,795,4592.0,0.837,2596,59,1.034,0.148
711982383,Existing Customer,62,M,1,1.0,Single,1.0,0.0,49,3,3,2,21805.0,1777,20028.0,0.519,4694,79,0.411,0.081
788778033,Existing Customer,39,F,2,1.0,Single,0.0,1.0,20,1,2,3,12338.0,1277,11061.0,0.828,15869,109,0.758,0.104
806908608,Existing Customer,46,F,2,0.0,Married,0.0,0.0,41,5,2,3,1438.3,0,1438.3,0.691,3942,78,1.229,0.0
753208833,Existing Customer,43,F,5,0.0,Married,1.0,0.0,36,5,3,2,2311.0,1320,991.0,0.658,3967,71,0.69,0.571
710391258,Existing Customer,27,M,0,1.0,Married,1.0,0.0,36,3,2,4,11473.0,829,10644.0,0.707,2147,41,0.519,0.072
822905058,Existing Customer,29,F,2,1.0,Married,0.0,0.0,25,6,3,2,2732.0,1746,986.0,1.028,4702,85,0.771,0.639
715485483,Attrited Customer,39,F,5,1.0,Married,0.0,0.0,36,3,3,3,3664.0,0,3664.0,0.419,1479,44,0.913,0.0
794524833,Existing Customer,36,F,3,1.0,Single,1.0,0.0,18,4,3,3,2265.0,1345,920.0,0.808,4009,73,0.49,0.594
720935658,Existing Customer,57,F,4,2.0,Single,0.0,0.0,45,2,2,3,3059.0,1744,1315.0,0.614,7709,89,0.561,0.57
710295858,Existing Customer,43,M,4,1.0,Divorced,2.0,0.0,32,2,1,2,24244.0,1649,22595.0,0.776,8074,84,0.647,0.068
809169858,Existing Customer,62,M,2,1.0,Single,1.0,0.0,56,2,3,2,18224.0,1383,16841.0,0.705,7728,93,0.576,0.076
715955208,Existing Customer,35,F,1,0.0,Single,0.0,0.0,26,3,3,2,2189.0,1833,356.0,0.56,4530,72,0.846,0.837
792864858,Existing Customer,47,M,4,0.0,Single,0.0,0.0,37,6,3,3,5726.0,834,4892.0,0.569,2311,58,0.487,0.146
792795933,Existing Customer,39,F,1,1.0,Single,0.0,0.0,30,5,6,2,2669.0,2397,272.0,0.807,3847,65,0.585,0.898
717823383,Existing Customer,56,M,4,0.0,Married,1.0,0.0,47,1,1,3,3426.0,1841,1585.0,0.734,4268,81,0.8,0.537
795684783,Existing Customer,48,M,4,0.0,Single,1.0,0.0,42,5,4,2,2384.0,1596,788.0,0.831,3149,59,0.903,0.669
708848208,Existing Customer,52,M,3,0.0,Single,2.0,0.0,40,6,3,2,34516.0,1757,32759.0,0.786,4223,81,0.653,0.051
807722658,Existing Customer,51,F,2,1.0,Single,0.0,0.0,46,3,3,3,2429.0,1250,1179.0,0.983,4761,99,0.707,0.515
712854633,Existing Customer,49,F,2,0.0,Single,0.0,0.0,39,4,1,3,11320.0,0,11320.0,0.669,2845,57,0.727,0.0
